country	year	Life Ladder	GDP per capita	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption	Confidence in government
ARG	2006	6.313	9.717	0.938	65.987	0.733	-0.156	0.852	0.518
ARG	2007	6.073	9.793	0.862	66.129	0.653	-0.141	0.881	0.406
ARG	2008	5.961	9.822	0.892	66.269	0.678	-0.132	0.865	0.286
ARG	2009	6.424	9.751	0.919	66.410	0.637	-0.130	0.885	0.274
ARG	2010	6.441	9.837	0.927	66.552	0.730	-0.126	0.855	0.352
ARG	2011	6.776	9.885	0.889	66.695	0.816	-0.174	0.755	0.608
ARG	2012	6.468	9.864	0.902	66.837	0.747	-0.148	0.817	0.418
ARG	2013	6.582	9.877	0.910	66.978	0.737	-0.131	0.823	0.434
ARG	2014	6.671	9.841	0.918	67.118	0.745	-0.165	0.854	0.409
ARG	2015	6.697	9.858	0.926	67.258	0.881	-0.174	0.851	0.378
ARG	2016	6.427	9.825	0.883	67.399	0.848	-0.192	0.851	0.420
ARG	2017	6.039	9.844	0.907	67.539	0.832	-0.186	0.841	0.305
ARM	2006	4.289	8.718	0.682	63.302	0.520	-0.217	0.850	0.344
ARM	2007	4.882	8.855	0.760	63.391	0.605	-0.238	0.817	0.388
ARM	2008	4.652	8.930	0.709	63.507	0.462	-0.203	0.876	0.464
ARM	2009	4.178	8.785	0.680	63.658	0.441	-0.201	0.882	0.374
ARM	2010	4.368	8.810	0.660	63.842	0.459	-0.163	0.891	0.356
ARM	2011	4.260	8.857	0.705	64.049	0.465	-0.213	0.875	0.336
ARM	2012	4.320	8.924	0.676	64.258	0.502	-0.203	0.893	0.285
ARM	2013	4.277	8.953	0.723	64.455	0.504	-0.183	0.900	0.260
ARM	2014	4.453	8.984	0.739	64.637	0.506	-0.207	0.920	0.215
ARM	2015	4.348	9.011	0.723	64.800	0.551	-0.191	0.901	0.171
ARM	2016	4.325	9.011	0.709	64.963	0.611	-0.159	0.921	0.185
ARM	2017	4.288	9.035	0.698	65.126	0.614	-0.132	0.865	0.247
AUS	2005	7.341	10.568	0.968	71.102	0.935		0.390	0.532
AUS	2007	7.285	10.613	0.965	71.498	0.891	0.332	0.513	0.527
AUS	2008	7.254	10.629	0.947	71.588	0.916	0.290	0.431	0.645
AUS	2010	7.450	10.631	0.955	71.852	0.932	0.302	0.366	0.610
AUS	2011	7.406	10.640	0.967	72.028	0.945	0.355	0.382	0.531
AUS	2012	7.196	10.659	0.945	72.161	0.935	0.259	0.368	0.420
AUS	2013	7.364	10.667	0.928	72.251	0.933	0.254	0.432	0.456
AUS	2014	7.289	10.678	0.924	72.384	0.923	0.304	0.442	0.465
AUS	2015	7.309	10.688	0.952	72.517	0.922	0.317	0.357	0.479
AUS	2016	7.250	10.701	0.942	72.650	0.922	0.223	0.399	0.453
AUS	2017	7.257	10.712	0.950	72.783	0.911	0.302	0.411	0.453
AUT	2006	7.122	10.658	0.936	70.019	0.941	0.294	0.490	0.497
AUT	2008	7.181	10.703	0.935	70.502	0.879	0.283	0.614	0.257
AUT	2010	7.303	10.678	0.914	70.632	0.896	0.122	0.546	0.486
AUT	2011	7.471	10.702	0.944	70.985	0.939	0.123	0.703	0.407
AUT	2012	7.401	10.705	0.945	70.944	0.920	0.109	0.771	0.377
AUT	2013	7.499	10.700	0.950	71.120	0.922	0.160	0.679	0.417
AUT	2014	6.950	10.700	0.899	71.430	0.885	0.109	0.567	0.408
AUT	2015	7.076	10.698	0.928	71.740	0.900	0.090	0.557	0.455
AUT	2016	7.048	10.700	0.926	72.050	0.889	0.072	0.524	0.433
AUT	2017	7.294	10.716	0.906	72.360	0.890	0.125	0.518	0.436
AZE	2006	4.728	9.279	0.854	60.549	0.772	-0.256	0.774	0.755
AZE	2007	4.568	9.491	0.753	60.993	0.522	-0.229	0.871	0.708
AZE	2008	4.817	9.573	0.684	61.400	0.601	-0.052	0.715	0.792
AZE	2009	4.574	9.642	0.736	61.756	0.498	-0.110	0.754	0.774
AZE	2010	4.219	9.677	0.687	62.054	0.501	-0.146	0.858	0.697
AZE	2011	4.680	9.665	0.725	62.291	0.537	-0.129	0.795	0.742
AZE	2012	4.911	9.673	0.762	62.480	0.599	-0.164	0.763	0.708
AZE	2013	5.481	9.717	0.770	62.634	0.672	-0.192	0.699	0.749
AZE	2014	5.252	9.724	0.799	62.759	0.733	-0.232	0.654	0.778
AZE	2015	5.147	9.723	0.786	62.865	0.764	-0.222	0.616	0.788
AZE	2016	5.304	9.680	0.777	62.970	0.713	-0.228	0.607	0.734
AZE	2017	5.152	9.654	0.787	63.075	0.731	-0.247	0.653	0.767
BHR	2009	5.701	10.614	0.904	65.151	0.896	0.023	0.506	
BHR	2010	5.937	10.611	0.877	65.276	0.862	-0.015	0.715	
BHR	2011	4.824	10.601	0.908	65.400	0.870	-0.066	0.583	
BHR	2012	5.027	10.620	0.911	65.523	0.682		0.438	
BHR	2013	6.690	10.661	0.884	65.644	0.809		0.525	
BHR	2014	6.165	10.688		65.765				
BHR	2015	6.007	10.690	0.853	65.884	0.850	0.097		
BHR	2016	6.170	10.707	0.863	66.004	0.889	0.072		
BHR	2017	6.227	10.687	0.876	66.124	0.906	0.121		
BGD	2006	4.319	7.616	0.672	58.637	0.612	0.077	0.786	0.614
BGD	2007	4.607	7.673	0.514	59.035	0.605	0.049	0.806	0.733
BGD	2008	5.052	7.720	0.467	59.429	0.606	-0.035	0.802	0.762
BGD	2009	5.083	7.758	0.528	59.821	0.631	-0.066	0.776	0.830
BGD	2010	4.858	7.801	0.549	60.207	0.659	-0.008	0.774	0.647
BGD	2011	4.986	7.852	0.606	60.583	0.838	-0.062	0.757	0.786
BGD	2012	4.724	7.903	0.582	60.944	0.668	-0.027	0.765	0.706
BGD	2013	4.660	7.950	0.530	61.284	0.742	-0.009	0.743	0.736
BGD	2014	4.636	7.997	0.577	61.604	0.736	-0.092	0.789	0.719
BGD	2015	4.633	8.050	0.601	61.904	0.815	-0.062	0.721	0.761
BGD	2016	4.556	8.108	0.649	62.204	0.875	-0.083	0.688	0.845
BGD	2017	4.310	8.163	0.713	62.504	0.896	0.018	0.635	0.877
BLR	2006	5.658	9.426	0.918	61.693	0.707	-0.255	0.708	0.593
BLR	2007	5.617	9.513	0.858	62.407	0.667	-0.235	0.695	0.544
BLR	2008	5.463	9.614	0.904	62.628	0.640	-0.231	0.696	0.534
BLR	2009	5.564	9.618	0.908	62.584	0.679	-0.214	0.676	0.548
BLR	2010	5.526	9.695	0.918	62.582	0.700	-0.174	0.706	0.590
BLR	2011	5.225	9.751	0.910	62.714	0.656	-0.179	0.672	
BLR	2012	5.749	9.769	0.902	63.970	0.645	-0.229	0.657	
BLR	2013	5.876	9.779	0.923	64.418	0.723	-0.189	0.653	0.508
BLR	2014	5.812	9.795	0.880	64.863	0.647	-0.060	0.682	0.508
BLR	2015	5.719	9.754	0.924	65.444	0.623	-0.103	0.669	0.520
BLR	2016	5.178	9.726	0.927	66.025	0.658	-0.137	0.664	0.453
BLR	2017	5.553	9.720	0.900	66.606	0.621	-0.131	0.654	0.448
BEL	2005	7.262	10.592	0.935	70.095	0.924		0.598	0.552
BEL	2007	7.219	10.636	0.922	70.807	0.901	0.059	0.721	0.602
BEL	2008	7.117	10.636	0.923	70.716	0.887	-0.003	0.652	0.463
BEL	2010	6.854	10.623	0.931	71.162	0.807	0.012	0.697	0.337
BEL	2011	7.111	10.627	0.937	71.520	0.880	-0.024	0.711	0.289
BEL	2012	6.935	10.622	0.927	71.342	0.855	-0.060	0.758	0.440
BEL	2013	7.104	10.620	0.909	71.522	0.891	0.007	0.574	0.554
BEL	2014	6.855	10.631	0.944	72.143	0.861	-0.008	0.512	0.469
BEL	2015	6.904	10.639	0.885	72.143	0.869	0.053	0.469	0.459
BEL	2016	6.949	10.647	0.929	72.143	0.866	-0.065	0.497	0.419
BEL	2017	6.928	10.658	0.922	72.143	0.857	0.045	0.543	0.450
BLZ	2007	6.451	8.975	0.872	58.333	0.705	0.016	0.769	0.255
BLZ	2014	5.956	8.988	0.757	58.924	0.874	0.003	0.782	0.384
BEN	2006	3.330	7.469	0.445	48.940	0.580	0.015	0.790	0.541
BEN	2008	3.667	7.518	0.382	49.653	0.709	0.022	0.825	0.603
BEN	2011	3.870	7.507	0.477	50.455	0.773	-0.116	0.849	0.777
BEN	2012	3.193	7.526	0.523	50.676	0.769	-0.085	0.806	0.582
BEN	2013	3.479	7.568	0.577	50.895	0.783	-0.059	0.856	0.547
BEN	2014	3.347	7.601	0.506	51.117	0.776	-0.070	0.855	0.574
BEN	2015	3.625	7.594	0.434	51.343	0.733	-0.001	0.850	0.514
BEN	2016	4.007	7.606	0.493	51.569	0.780	-0.040	0.838	0.637
BEN	2017	4.853	7.633	0.436	51.795	0.727	-0.040	0.767	0.615
BTN	2013	5.569	8.864	0.819	59.889	0.810	0.361	0.802	0.980
BTN	2014	4.939	8.905	0.880	60.230	0.834	0.276	0.650	0.958
BTN	2015	5.082	8.955	0.848	60.568	0.830	0.285	0.634	0.946
BOL	2006	5.374	8.484	0.834	55.629	0.770	-0.038	0.794	0.536
BOL	2007	5.628	8.512	0.796	56.131	0.780	0.007	0.817	0.506
BOL	2008	5.298	8.555	0.785	56.634	0.726	-0.086	0.801	0.442
BOL	2009	6.086	8.571	0.831	57.132	0.779	-0.030	0.763	0.468
BOL	2010	5.781	8.596	0.807	57.617	0.703	-0.063	0.781	0.377
BOL	2011	5.779	8.630	0.817	58.082	0.782	-0.034	0.825	0.335
BOL	2012	6.019	8.664	0.781	58.520	0.862	-0.010	0.840	0.435
BOL	2013	5.767	8.715	0.803	58.928	0.846	-0.062	0.812	0.434
BOL	2014	5.865	8.752	0.821	59.304	0.881	0.022	0.832	0.469
BOL	2015	5.834	8.784	0.829	59.651	0.884	-0.025	0.862	0.487
BOL	2016	5.770	8.811	0.796	59.997	0.882	-0.043	0.853	0.402
BOL	2017	5.651	8.833	0.779	60.344	0.884	-0.116	0.819	0.428
BIH	2007	4.900	9.135	0.766	66.551	0.342	0.003	0.926	0.404
BIH	2009	4.963	9.167	0.735	66.800	0.258	-0.029	0.959	
BIH	2010	4.669	9.182	0.773	66.935	0.365	-0.131	0.933	
BIH	2011	4.995	9.200	0.725	67.076	0.333	-0.038	0.925	
BIH	2012	4.773	9.203	0.779	67.223	0.420	-0.015	0.953	0.195
BIH	2013	5.124	9.238	0.767	67.373	0.390	0.039	0.970	0.113
BIH	2014	5.249	9.261	0.788	67.526	0.412	0.230	0.976	0.095
BIH	2015	5.117	9.299	0.656	67.682	0.631	-0.057	0.960	0.194
BIH	2016	5.181	9.335	0.808	67.838	0.633	0.132	0.957	0.212
BIH	2017	5.090	9.372	0.775	67.994	0.564	0.090	0.923	0.126
BWA	2006	4.739	9.422	0.883	45.814	0.824	-0.204	0.723	0.808
BWA	2008	5.451	9.530	0.832	48.571	0.858	-0.175	0.806	0.880
BWA	2010	3.553	9.498	0.866	51.103	0.826	-0.153	0.814	0.741
BWA	2011	3.520	9.539	0.860	52.229	0.813	-0.260	0.816	0.792
BWA	2012	4.836	9.564	0.837	53.297	0.799	-0.213	0.814	0.662
BWA	2013	4.128	9.653	0.856	54.326	0.767	-0.164	0.749	0.655
BWA	2014	4.031	9.675	0.859	55.303	0.791	-0.115	0.743	0.708
BWA	2015	3.762	9.639	0.816	56.207	0.857	-0.125	0.860	0.819
BWA	2016	3.499	9.663	0.768	57.110	0.852	-0.262	0.729	0.803
BWA	2017	3.505	9.684	0.768	58.013	0.817	-0.258	0.731	0.771
BRA	2005	6.637	9.417	0.883	62.258	0.882		0.745	0.341
BRA	2007	6.321	9.493	0.886	62.884	0.777	-0.029	0.728	0.383
BRA	2008	6.691	9.533	0.878	63.195	0.782	-0.091	0.688	0.511
BRA	2009	7.001	9.522	0.913	63.501	0.767	-0.068	0.723	0.427
BRA	2010	6.837	9.585	0.906	63.801	0.806	-0.067	0.656	0.511
BRA	2011	7.038	9.614	0.916	64.087	0.834	-0.086	0.662	0.503
BRA	2012	6.660	9.624	0.890	64.355	0.849		0.623	0.459
BRA	2013	7.140	9.644	0.910	64.602	0.785	-0.108	0.707	0.393
BRA	2014	6.981	9.640	0.898	64.829	0.714	-0.129	0.710	0.355
BRA	2015	6.547	9.593	0.907	65.037	0.799	-0.029	0.771	0.199
BRA	2016	6.375	9.549	0.912	65.245	0.807	-0.113	0.781	0.264
BRA	2017	6.333	9.548	0.905	65.454	0.765	-0.187	0.794	0.165
BGR	2007	3.844	9.602	0.832	64.808	0.566	-0.145	0.976	0.275
BGR	2010	3.912	9.635	0.843	65.565	0.545	-0.150	0.941	0.365
BGR	2011	3.875	9.660	0.860	66.146	0.664	-0.234	0.948	0.265
BGR	2012	4.222	9.666	0.838	66.281	0.641	-0.177	0.938	0.343
BGR	2013	3.993	9.680	0.829	66.768	0.603	-0.197	0.962	0.171
BGR	2014	4.438	9.699	0.886	66.415	0.576	-0.061	0.955	0.140
BGR	2015	4.865	9.741	0.908	66.415	0.637	-0.206	0.941	0.250
BGR	2016	4.838	9.787	0.926	66.415	0.700	-0.176	0.936	0.221
BGR	2017	5.097	9.823	0.942	66.415	0.689	-0.160	0.911	0.326
BFA	2006	3.801	7.175	0.796	46.530	0.588	0.042	0.798	0.351
BFA	2007	4.017	7.200	0.771	47.203	0.582	-0.048	0.833	0.423
BFA	2008	3.846	7.240	0.727	47.876	0.612	-0.090	0.887	0.463
BFA	2010	4.036	7.261	0.773	49.151	0.587	-0.023	0.767	0.547
BFA	2011	4.785	7.295	0.710	49.725	0.725	-0.092	0.707	0.633
BFA	2012	3.955	7.327	0.744	50.255	0.622	-0.057	0.726	0.617
BFA	2013	3.326	7.354	0.745	50.742	0.741	-0.003	0.765	0.634
BFA	2014	3.481	7.367	0.742	51.186	0.710	0.009	0.801	0.543
BFA	2015	4.419	7.375	0.705	51.590	0.659	0.016	0.693	0.668
BFA	2016	4.206	7.404	0.764	51.995	0.645	0.012	0.721	0.664
BFA	2017	4.647	7.435	0.785	52.399	0.614	-0.051	0.727	0.541
BDI	2008	3.563	6.632	0.291	46.202	0.260	-0.010	0.860	0.569
BDI	2009	3.792	6.633	0.326	46.596	0.427	-0.010	0.718	0.755
BDI	2011	3.706	6.648	0.422	47.412	0.490	-0.052	0.677	0.851
BDI	2014	2.905	6.689	0.565	48.569	0.431	-0.049	0.808	
KHM	2006	3.569	7.672	0.793	54.055		0.257	0.829	0.736
KHM	2007	4.156	7.755	0.675	54.702	0.819	0.117	0.879	0.638
KHM	2008	4.462	7.805	0.619	55.288	0.914	0.047	0.888	0.738
KHM	2009	4.111	7.791	0.818	55.812	0.937	0.154	0.965	0.903
KHM	2010	4.141	7.833	0.697	56.272	0.940	0.351	0.896	0.896
KHM	2011	4.161	7.886	0.716	56.677	0.927	0.419	0.775	0.901
KHM	2012	3.899	7.940	0.606	57.041	0.956	0.247	0.890	0.825
KHM	2013	3.674	7.995	0.651	57.381	0.941	0.164	0.812	0.775
KHM	2014	3.883	8.047	0.693	57.701	0.938	0.239	0.843	0.697
KHM	2015	4.162	8.099	0.729	58.011	0.956	0.210	0.825	0.733
KHM	2016	4.461	8.151	0.746	58.321	0.958	0.075	0.840	0.740
KHM	2017	4.586	8.203	0.765	58.631	0.964	0.087	0.821	0.752
CMR	2006	3.851	7.955	0.690	45.830	0.653	-0.011	0.907	0.432
CMR	2007	4.350	7.975	0.717	46.292	0.644	-0.033	0.910	0.408
CMR	2008	4.292	7.982	0.697	46.723	0.580	-0.070	0.945	0.315
CMR	2009	4.741	7.976	0.729	47.119	0.698	-0.018	0.925	0.366
CMR	2010	4.554	7.983	0.759	47.487	0.792	0.001	0.875	0.514
CMR	2011	4.434	7.996	0.738	47.836	0.817	-0.030	0.870	0.645
CMR	2012	4.245	8.013	0.743	48.187	0.766	-0.034	0.898	0.533
CMR	2013	4.271	8.039	0.760	48.550	0.794	-0.032	0.867	0.607
CMR	2014	4.240	8.070	0.778	48.932	0.795	-0.073	0.856	0.609
CMR	2015	5.038	8.098	0.646	49.335	0.791	0.047	0.868	0.614
CMR	2016	4.816	8.116	0.659	49.738	0.713	-0.006	0.879	0.621
CMR	2017	5.074	8.128	0.695	50.140	0.767	-0.031	0.844	0.579
CAN	2005	7.418	10.608	0.962	70.501	0.957	0.238	0.503	0.443
CAN	2007	7.482	10.637		70.721	0.930	0.235	0.406	0.638
CAN	2008	7.486	10.636	0.939	70.854	0.926	0.248	0.370	0.590
CAN	2009	7.488	10.595	0.943	71.075	0.915	0.232	0.413	0.608
CAN	2010	7.650	10.614	0.954	71.295	0.934	0.217	0.413	0.551
CAN	2011	7.426	10.635	0.922	71.516	0.951	0.239	0.433	0.553
CAN	2012	7.415	10.641	0.948	71.634	0.918	0.276	0.466	0.523
CAN	2013	7.594	10.653	0.936	71.800	0.916	0.302	0.406	0.506
CAN	2014	7.304	10.668	0.918	71.959	0.939	0.256	0.442	0.517
CAN	2015	7.413	10.669	0.939	72.113	0.931	0.239	0.427	0.644
CAN	2016	7.245	10.671	0.924	72.268	0.912	0.197	0.385	0.618
CAF	2007	4.160	6.761	0.532	38.385	0.663	0.099	0.782	0.624
CAF	2010	3.568	6.789	0.483	40.077	0.690	-0.012	0.845	0.752
CAF	2011	3.678	6.815	0.387	40.687	0.780	0.008	0.834	0.784
CAF	2016	2.693	6.474	0.290	43.982	0.624	0.059	0.859	0.749
CAF	2017	3.476		0.320	44.645	0.645		0.890	0.650
TCD	2006	3.435	7.464	0.724	41.690	0.306	0.018	0.961	0.161
TCD	2007	4.141	7.462	0.479	42.017	0.295	-0.021	0.874	0.228
TCD	2008	4.632	7.460	0.571	42.407	0.527	0.053	0.944	0.349
TCD	2009	3.639	7.469	0.646	42.847	0.401	0.012	0.931	0.253
TCD	2010	3.743	7.563	0.734	43.315	0.505	0.015	0.858	0.319
TCD	2011	4.393	7.530	0.819	43.786	0.540	0.021	0.876	0.394
TCD	2012	4.033	7.582	0.673	44.237	0.563	-0.044	0.884	0.303
TCD	2013	3.508	7.604	0.714	44.651	0.488	-0.056	0.882	0.310
TCD	2014	3.460	7.639	0.733	45.019	0.567	-0.081	0.881	0.367
TCD	2015	4.323	7.624	0.751	45.341	0.474	-0.039	0.889	0.446
TCD	2016	4.029	7.521	0.616	45.662	0.525	0.043	0.820	0.513
TCD	2017	4.559	7.491	0.661	45.984	0.615	-0.003	0.792	0.474
CHL	2006	6.063	9.792	0.836	68.067	0.744	0.156	0.634	0.581
CHL	2007	5.698	9.829	0.815	68.183	0.662	0.232	0.723	0.426
CHL	2008	5.789	9.854	0.804	68.294	0.640	0.071	0.741	0.405
CHL	2009	6.494	9.828	0.832	68.404	0.747	0.137	0.734	0.575
CHL	2010	6.636	9.875	0.857	68.520	0.786	0.095	0.702	0.479
CHL	2011	6.526	9.925	0.819	68.646	0.701	0.099	0.753	0.323
CHL	2012	6.599	9.968	0.855	68.783	0.734	0.182	0.782	0.343
CHL	2013	6.740	9.999	0.862	68.933	0.737	0.071	0.741	0.307
CHL	2014	6.844	10.009	0.862	69.094	0.733	0.203	0.758	0.400
CHL	2015	6.533	10.023	0.827	69.266	0.769	0.026	0.812	0.300
CHL	2016	6.579	10.030	0.841	69.437	0.652	0.088	0.858	0.204
CHL	2017	6.320	10.038	0.880	69.609	0.790	-0.035	0.836	0.268
CHN	2006	4.560	8.766	0.747	67.386				
CHN	2007	4.863	8.894	0.811	67.632		-0.192		
CHN	2008	4.846	8.981	0.748	67.855	0.853	-0.109		
CHN	2009	4.454	9.066	0.798	68.058	0.771	-0.177		
CHN	2010	4.653	9.162	0.768	68.241	0.805	-0.151		
CHN	2011	5.037	9.248	0.787	68.411	0.824	-0.204		
CHN	2012	5.095	9.319	0.788	68.569	0.808	-0.203		
CHN	2013	5.241	9.389	0.778	68.721	0.805	-0.176		
CHN	2014	5.196	9.454	0.820	68.868		-0.236		
CHN	2015	5.304	9.516	0.794	69.013		-0.264		
CHN	2016	5.325	9.575	0.742	69.158		-0.247		
CHN	2017	5.099	9.635	0.772	69.303	0.878	-0.195		
COL	2006	6.025	9.186	0.910	62.399	0.805	-0.021	0.808	0.481
COL	2007	6.138	9.241	0.894	62.584	0.786	-0.047	0.860	0.512
COL	2008	6.168	9.264	0.880	62.758	0.795	-0.049	0.763	0.635
COL	2009	6.272	9.269	0.886	62.923	0.757	-0.062	0.837	0.440
COL	2010	6.408	9.297	0.893	63.079	0.816	-0.056	0.815	0.552
COL	2011	6.464	9.350	0.904	63.230	0.811	-0.080	0.847	0.446
COL	2012	6.375	9.379	0.914	63.378	0.828	-0.017	0.868	0.357
COL	2013	6.607	9.417	0.901	63.527	0.841	-0.078	0.898	0.293
COL	2014	6.449	9.451	0.907	63.678	0.801	-0.098	0.887	0.298
COL	2015	6.388	9.472	0.890	63.831	0.791	-0.108	0.843	0.272
COL	2016	6.234	9.482	0.882	63.983	0.835	-0.108	0.898	0.261
COL	2017	6.157	9.491	0.909	64.136	0.838	-0.166	0.875	0.222
COM	2009	3.476	7.255	0.629	52.539	0.508	-0.025	0.838	0.318
COM	2010	3.812	7.253	0.721	52.869	0.529	0.055	0.741	0.405
COM	2011	3.838	7.255	0.722	53.192	0.500	-0.024	0.732	0.441
COM	2012	3.956	7.260	0.719	53.497	0.534	-0.070	0.651	0.465
COG	2008	3.820	8.462	0.555	49.407	0.526	-0.133		0.318
COG	2011	4.510	8.559	0.637	51.992	0.745	-0.145	0.833	0.468
COG	2012	3.919	8.570	0.622	52.669	0.773	-0.147	0.800	0.542
COG	2013	3.955	8.579	0.680	53.280	0.726	-0.114	0.752	0.556
COG	2014	4.056	8.619	0.686	53.827	0.662	-0.146	0.808	0.484
COG	2015	4.691	8.620	0.642	54.314	0.850	-0.140	0.841	0.499
COG	2016	4.119	8.576	0.615	54.802	0.786	-0.108	0.790	0.483
COG	2017	4.884	8.560	0.655	55.289	0.778	-0.169	0.763	0.470
COD	2009	3.984	6.377	0.733	47.649	0.556	0.008	0.824	0.537
COD	2011	4.517	6.445	0.744	48.553	0.631	0.004	0.856	0.351
COD	2012	4.639	6.481	0.770	48.957	0.557	-0.006	0.807	0.438
COD	2013	4.497	6.530	0.830	49.341	0.480	0.041	0.913	0.202
COD	2014	4.414	6.587	0.822	49.710	0.556	0.038	0.814	0.312
COD	2015	3.903	6.621	0.767	50.070	0.574	-0.019	0.866	0.274
COD	2016	4.522	6.612	0.864	50.429	0.637	0.004	0.875	0.282
COD	2017	4.311	6.625	0.670	50.788	0.704	0.096	0.809	0.478
CRI	2006	7.082	9.364	0.937	68.307	0.882	0.061	0.798	0.379
CRI	2007	7.432	9.428	0.918	68.414	0.923	0.098	0.820	0.446
CRI	2008	6.851	9.460	0.916	68.524	0.912	0.096	0.816	0.361
CRI	2009	7.615	9.437	0.900	68.641	0.886	0.066	0.787	0.521
CRI	2010	7.271	9.473	0.915	68.766	0.881	0.048	0.763	0.533
CRI	2011	7.229	9.503	0.892	68.902	0.926	-0.033	0.837	0.323
CRI	2012	7.272	9.538	0.902	69.048	0.929	0.046	0.794	0.280
CRI	2013	7.158	9.549	0.902	69.202	0.898	0.018	0.813	0.262
CRI	2014	7.247	9.574	0.914	69.364	0.927	0.009	0.788	0.404
CRI	2015	6.854	9.610	0.878	69.532	0.907	-0.061	0.761	0.261
CRI	2016	7.136	9.642	0.901	69.700	0.873	-0.034	0.781	0.279
CRI	2017	7.225	9.671	0.922	69.867	0.936	-0.078	0.742	0.407
HRV	2007	5.821	9.979	0.910	66.000	0.662	-0.096	0.934	0.385
HRV	2009	5.433	9.924	0.861	66.403	0.549	-0.275	0.958	
HRV	2010	5.596	9.909	0.796	66.671	0.564	-0.241	0.973	
HRV	2011	5.385	9.938	0.790	66.933	0.517	-0.204	0.977	
HRV	2012	6.028	9.919	0.776	67.062	0.542	-0.248	0.924	0.311
HRV	2013	5.885	9.911	0.751	67.239	0.627	-0.210	0.936	0.257
HRV	2014	5.381	9.910	0.646	67.545	0.519	0.127	0.918	0.155
HRV	2015	5.205	9.941	0.768	67.368	0.694	-0.102	0.849	0.365
HRV	2016	5.417	9.978	0.798	67.192	0.672	-0.070	0.884	0.303
HRV	2017	5.343	10.014	0.770	67.016	0.716	-0.109	0.892	0.211
CUB	2006	5.418	9.676	0.970	66.327	0.281			0.513
CYP	2006	6.238	10.452	0.878	71.043	0.836	0.006	0.712	0.665
CYP	2009	6.833	10.445	0.812	71.475	0.775	0.042	0.801	0.564
CYP	2010	6.387	10.432	0.822	71.640	0.755	0.061	0.833	0.452
CYP	2011	6.690	10.410	0.844	71.810	0.745	0.168	0.841	0.400
CYP	2012	6.181	10.363	0.767	71.980	0.725	0.087	0.871	0.336
CYP	2013	5.439	10.304	0.744	72.145	0.656	0.091	0.867	0.274
CYP	2014	5.627	10.299	0.770	72.305	0.715	0.048	0.868	0.245
CYP	2015	5.439	10.322	0.770	72.458	0.628	0.103	0.893	0.203
CYP	2016	5.795	10.348	0.786	72.610	0.756	-0.039	0.898	0.334
CYP	2017	6.062	10.361	0.819	72.763	0.812	0.036	0.851	0.313
CZE	2005	6.439	10.157	0.919	67.164	0.865		0.901	0.283
CZE	2007	6.500	10.270	0.900	67.872	0.799	-0.071	0.928	0.269
CZE	2010	6.250	10.252	0.934	68.491	0.779	-0.049	0.926	0.334
CZE	2011	6.331	10.268	0.914	68.888	0.787	-0.114	0.950	0.206
